GCA_000176995.1	Lactobacillus gasseri
GCA_001046795.1	Lactobacillus formosensis
GCA_002025085.1	Lactobacillus rhamnosus
GCA_002311195.1	Lactobacillus johnsonii
GCA_002406765.1	Lactobacillus paracasei
GCA_002418095.1	Unidentified species 3
GCA_003045645.1	Lactobacillus plantarum
GCA_003045685.1	Lactobacillus paraplantarum
GCA_003072625.1	Lactobacillus reuteri
GCA_003433375.1	Leuconostoc mesenteroides
GCA_003535895.1	Leuconostoc citreum (?)
GCA_003666485.1	Unidentified species 7
GCA_900088455.1	New species 8
GCF_000014385.1	Oenococcus oeni
GCF_000014505.1	Pediococcus pentosaceus
GCF_000091765.1	Lactobacillus crispatus
GCF_000092505.1	Leuconostoc kimchii
GCF_000146325.1	Pediococcus acidilactici
GCF_000159195.1	Lactobacillus hilgardii
GCF_000159335.1	Unidentified species 4
GCF_000159375.2	Lactobacillus ruminis
GCF_000159395.1	Lactobacillus salivarius
GCF_000159415.1	Lactobacillus ultunensis
GCF_000159435.1	Lactobacillus vaginalis
GCF_000160575.1	Weissella paramesenteroides
GCF_000160835.1	Lactobacillus antri
GCF_000160875.1	Lactobacillus iners
GCF_000161935.1	Lactobacillus coleohominis (?)
GCF_000162395.1	Lactobacillus fermentum
GCF_000165675.1	Leuconostoc fallax
GCF_000165775.1	Lactobacillus helveticus
GCF_000166715.1	Leuconostoc gelidum
GCF_000178475.1	Lactobacillus amylolyticus
GCF_000179875.1	Leuconostoc lactis
GCF_000180015.1	Lactobacillus oris
GCF_000182855.2	Lactobacillus amylovorus
GCF_000193635.1	Weissella cibaria (?)
GCF_000211375.1	Lactobacillus buchneri
GCF_000219805.1	Weissella koreensis (?)
GCF_000235705.1	Lactobacillus curvatus
GCF_000237995.1	Pediococcus claussenii
GCF_000241055.1	Oenococcus kitaharae
GCF_000242275.1	Lactobacillus kisonensis
GCF_000247775.1	Lactobacillus gastricus
GCF_000248095.2	Lactobacillus mucosae
GCF_000260395.1	Lactobacillus suebicus
GCF_000260775.1	Lactobacillus malefermentans
GCF_000271445.1	Lactobacillus pentosus
GCF_000277855.1	Lactobacillus rossiae
GCF_000296855.1	Lactobacillus gigeriorum
GCF_000297025.1	Lactobacillus pasteurii
GCF_000300135.1	Leuconostoc carnosum (?)
GCF_000304715.1	Lactobacillus florum
GCF_000312405.1	Lactobacillus ingluviei
GCF_000364205.1	Lactobacillus murinus
GCF_000389675.2	Lactobacillus acidophilus
GCF_000415925.1	Lactobacillus otakiensis
GCF_000420365.1	Weissella halotolerans
GCF_000423245.1	Lactobacillus ceti
GCF_000423265.1	Lactobacillus saerimneri
GCF_000425905.1	Lactobacillus psittaci
GCF_000469325.1	Lactobacillus shenzhenensis
GCF_000498955.1	Lactobacillus fabifermentans
GCF_000504525.1	Lactobacillus equi
GCF_000686465.1	Leuconostoc pseudomesenteroides (?)
GCF_000691805.1	Weissella oryzae
GCF_000715455.1	Weissella hellenica (?)
GCF_000740055.1	Lactobacillus oryzae
GCF_000741865.1	Lactobacillus kunkeei
GCF_000750515.1	Weissella ceti (?)
GCF_000761135.1	Lactobacillus helsingborgensis
GCF_000785105.1	Lactobacillus curieae
GCF_000814185.1	Lactobacillus casei
GCF_000814735.1	Lactobacillus fructivorans
GCF_000829395.1	Lactobacillus hokkaidonensis
GCF_000831645.1	Lactobacillus heilongjiangensis
GCF_000876205.1	Lactobacillus wasatchensis
GCF_000962875.1	Pediococcus damnosus
GCF_000965255.1	Lactobacillus spicheri
GCF_000967245.1	Lactobacillus mellis
GCF_000970755.1	Lactobacillus kimbladii
GCF_000970795.1	Lactobacillus mellifer
GCF_001012665.1	Lactobacillus jensenii
GCF_001027985.1	Lactobacillus panis
GCF_001039045.1	Lactobacillus herbarum
GCF_001047075.2	Fructobacillus ficulneus
GCF_001047095.1	Fructobacillus fructosus
GCF_001047135.1	Fructobacillus tropaeoli
GCF_001050435.1	Lactobacillus koreensis
GCF_001050475.1	Lactobacillus ginsenosidimutans
GCF_001190005.1	Lactobacillus delbrueckii
GCF_001281175.1	Lactobacillus apinorum
GCF_001293735.1	Lactobacillus gorillae
GCF_001308205.1	New species 7
GCF_001433765.1	Lactobacillus coryniformis
GCF_001433815.1	Lactobacillus pobuzihii
GCF_001433995.1	Lactobacillus kimchicus
GCF_001434055.1	Lactobacillus parabrevis
GCF_001434115.1	Lactobacillus zymae
GCF_001434195.1	Lactobacillus kefiranofaciens
GCF_001434225.1	Lactobacillus nagelii
GCF_001434255.1	Lactobacillus diolivorans
GCF_001434275.1	Lactobacillus mindensis
GCF_001434295.1	Lactobacillus versmoldensis
GCF_001434315.1	Lactobacillus oligofermentans
GCF_001434335.1	Lactobacillus kalixensis
GCF_001434395.1	Lactobacillus hammesii
GCF_001434405.1	Lactobacillus apodemi
GCF_001434435.1	Lactobacillus kitasatonis
GCF_001434455.1	Lactobacillus hayakitensis
GCF_001434515.1	Lactobacillus hamsteri
GCF_001434535.1	Lactobacillus animalis
GCF_001434555.1	Lactobacillus amylophilus
GCF_001434575.1	Lactobacillus bifermentans
GCF_001434665.1	Lactobacillus tucceti
GCF_001434695.1	Lactobacillus algidus
GCF_001434705.1	Lactobacillus nasuensis
GCF_001434745.1	Lactobacillus alimentarius
GCF_001434775.1	Lactobacillus farciminis
GCF_001434785.1	Lactobacillus namurensis
GCF_001434815.1	Lactobacillus equicursoris
GCF_001434835.1	Lactobacillus acidifarinae
GCF_001434845.1	Lactobacillus hordei
GCF_001434895.1	Lactobacillus odoratitofui
GCF_001434915.1	Lactobacillus capillatus
GCF_001434935.1	Lactobacillus uvarum
GCF_001434975.1	Lactobacillus gallinarum
GCF_001434985.1	Lactobacillus paralimentarius
GCF_001435035.1	Lactobacillus manihotivorans
GCF_001435115.1	Lactobacillus paracollinoides
GCF_001435155.1	Lactobacillus pantheris
GCF_001435195.1	Lactobacillus satsumensis
GCF_001435235.1	Lactobacillus ghanensis
GCF_001435245.1	Lactobacillus equigenerosi
GCF_001435325.1	Lactobacillus intestinalis
GCF_001435345.1	Lactobacillus pontis
GCF_001435375.1	Lactobacillus araffinosus
GCF_001435395.1	Lactobacillus vini
GCF_001435445.1	Lactobacillus kimchii
GCF_001435505.1	Lactobacillus futsaii
GCF_001435555.1	Lactobacillus nodensis
GCF_001435575.1	Lactobacillus sunkii
GCF_001435585.1	Lactobacillus perolens
GCF_001435755.1	Lactobacillus acidipiscis
GCF_001435815.1	Lactobacillus nantensis
GCF_001435835.1	Lactobacillus concavus
GCF_001435875.1	Lactobacillus farraginis
GCF_001435895.1	Lactobacillus parafarraginis
GCF_001435975.1	Lactobacillus collinoides
GCF_001435995.1	Lactobacillus ozensis
GCF_001436035.1	Lactobacillus sanfranciscensis
GCF_001436045.1	Lactobacillus frumenti
GCF_001436095.1	Lactobacillus dextrinicus
GCF_001436115.1	Lactobacillus brantae
GCF_001436125.1	Lactobacillus hominis
GCF_001436135.1	Lactobacillus thailandensis
GCF_001436225.1	Lactobacillus sharpeae
GCF_001436255.1	Lactobacillus rapi
GCF_001436275.1	Lactobacillus oeni
GCF_001436295.1	Lactobacillus vaccinostercus
GCF_001436375.1	Lactobacillus composti
GCF_001436415.1	Lactobacillus graminis
GCF_001436505.1	Lactobacillus rennini
GCF_001436535.1	Lactobacillus mali
GCF_001436555.1	Lactobacillus senioris
GCF_001436595.1	Lactobacillus similis
GCF_001436605.1	Lactobacillus floricola
GCF_001436615.1	Lactobacillus camelliae
GCF_001436675.1	Lactobacillus senmaizukei
GCF_001436695.1	Lactobacillus taiwanensis
GCF_001436705.1	Lactobacillus sucicola
GCF_001436735.1	Lactobacillus cacaonum
GCF_001436755.1	Lactobacillus aquaticus
GCF_001436775.1	Lactobacillus acetotolerans
GCF_001436805.1	Lactobacillus selangorensis
GCF_001436895.1	Weissella confusa
GCF_001437055.1	Lactobacillus secaliphilus
GCF_001437075.1	Pediococcus stilesii
GCF_001437125.1	Lactobacillus paucivorans
GCF_001437335.1	Lactobacillus parabuchneri
GCF_001437355.1	Weissella viridescens
GCF_001437405.1	Pediococcus ethanolidurans
GCF_001437425.1	Weissella minor
GCF_001437435.1	Lactobacillus siliginis
GCF_001437465.1	Lactobacillus saniviri
GCF_001437605.1	Pediococcus argentinicus
GCF_001438655.1	Pediococcus cellicola
GCF_001438685.1	Lactobacillus lindneri
GCF_001438705.1	Weissella kandleri
GCF_001438805.1	Lactobacillus kimchiensis
GCF_001438845.1	Lactobacillus xiangfangensis
GCF_001636145.1	Lactobacillus harbinensis
GCF_001640785.1	Pediococcus parvulus (?)
GCF_001652045.1	Lactobacillus aviarius
GCF_001663675.1	Lactobacillus backii (?)
GCF_001761545.1	Weissella soli
GCF_001951175.1	Lactobacillus crustorum
GCF_001971585.1	Lactobacillus allii
GCF_002117325.1	Lactobacillus brevis
GCF_002157585.1	Lactobacillus parakefiri
GCF_002217925.1	Lactobacillus mixtipabuli
GCF_002217945.1	Lactobacillus silagei
GCF_002217965.1	Lactobacillus pentosiphilus
GCF_002240375.1	Lactobacillus agilis
GCF_002276525.1	Lactobacillus kefiri (?)
GCF_002583405.1	Lactobacillus silagincola
GCF_002762335.1	Lactobacillus terrae
GCF_002872255.1	Lactobacillus nuruki
GCF_002911475.1	New species 1
GCF_002916915.1	Lactobacillus bombicola
GCF_002916935.1	Lactobacillus panisapium (?)
GCF_002940945.1	New species 2
GCF_002970915.1	New species 3
GCF_002970935.1	New species 4
GCF_002982135.1	Pediococcus inopinatus
GCF_002993965.1	Lactobacillus timberlakei
GCF_002994005.1	Lactobacillus quenuiae
GCF_003096575.1	Convivina intestini
GCF_003124125.1	Lactobacillus bambusae
GCF_003151025.1	Lactobacillus kullabergensis
GCF_003202825.1	Lactobacillus melliventris
GCF_003363255.1	Weissella thailandensis
GCF_003423665.1	Lactobacillus rodentium
GCF_003515805.1	Lactobacillus bombi (?)
GCF_003573575.1	Lactobacillus musae
GCF_003606365.1	Unidentified species 5
GCF_003627035.1	New species 5
GCF_003692755.1	Unidentified species 6
GCF_003692845.1	Lactobacillus apis
GCF_900094835.1	Unidentified species 1
GCF_900095015.1	Unidentified species 2
GCF_900108455.1	Fructobacillus pseudoficulneus
GCF_900110005.1	New species 6
GCF_900112405.1	Fructobacillus durionis
GCF_900156885.1	Unidentified species 8
GCF_900215775.1	Lactobacillus sakei
GCF_900240275.1	Lactobacillus timonensis
GCF_900258455.1	Lactobacillus fuchuensis
GCF_900411375.1	Lactobacillus raoultii
